obs vh wind humidity temp ibh dpg ibt vis doy HO
"1" 5710 4 28 40 2693 -25 87 250 33 FALSE
"2" 5700 3 37 45 590 -24 128 100 34 FALSE
"3" 5760 3 51 54 1450 25 139 60 35 FALSE
"4" 5720 4 69 35 1568 15 121 60 36 FALSE
"5" 5790 6 19 45 2631 -33 123 100 37 FALSE
"6" 5790 3 25 55 554 -28 182 250 38 FALSE
"7" 5700 3 73 41 2083 23 114 120 39 FALSE
"8" 5700 3 59 44 2654 -2 91 120 40 FALSE
"9" 5770 8 27 54 5000 -19 92 120 41 FALSE
"10" 5720 3 44 51 111 9 173 150 42 FALSE
"11" 5760 6 33 51 492 -44 181 40 43 FALSE
"12" 5780 6 19 54 5000 -44 135 200 44 FALSE
"13" 5830 3 19 58 1249 -53 243 250 45 FALSE
"14" 5870 2 19 61 5000 -67 186 200 46 FALSE
"15" 5840 5 19 64 5000 -40 174 200 47 FALSE
"16" 5780 4 59 67 639 1 189 150 48 FALSE
"17" 5680 5 73 52 393 -68 210 10 49 FALSE
"18" 5720 4 19 54 5000 -66 126 140 50 FALSE
"19" 5760 3 19 54 5000 -58 111 250 51 FALSE
"20" 5730 4 26 58 5000 -26 111 200 52 FALSE
"21" 5700 5 59 69 3044 18 116 150 53 FALSE
"22" 5650 5 70 51 3641 23 87 140 54 FALSE
"23" 5680 3 64 53 111 -10 153 50 55 FALSE
"24" 5820 5 19 59 597 -52 214 70 57 FALSE
"25" 5810 5 19 64 1791 -15 182 150 59 FALSE
"26" 5790 3 28 63 793 -15 188 120 60 FALSE
"27" 5800 2 32 63 531 -38 244 40 61 FALSE
"28" 5820 5 19 62 419 -29 243 120 61 FALSE
"29" 5770 8 76 63 816 -7 190 6 62 FALSE
"30" 5670 3 69 54 3651 62 95 30 63 FALSE
"31" 5590 3 76 36 5000 70 33 100 64 FALSE
"32" 5410 6 64 31 5000 28 2 200 65 FALSE
"33" 5350 7 62 30 1341 18 77 60 66 FALSE
"34" 5480 9 72 36 5000 0 37 350 67 FALSE
"35" 5600 7 76 42 3799 -18 77 250 68 FALSE
"36" 5490 11 72 37 5000 32 34 350 69 FALSE
"37" 5560 10 72 41 5000 -1 31 300 70 FALSE
"38" 5700 3 32 46 5000 -30 77 300 71 FALSE
"39" 5680 5 50 51 5000 -8 75 300 72 FALSE
"40" 5700 4 86 55 2398 21 121 200 73 FALSE
"41" 5650 5 61 41 5000 51 24 100 74 FALSE
"42" 5610 5 62 41 4281 42 52 250 75 FALSE
"43" 5730 5 66 49 1161 27 116 200 76 FALSE
"44" 5770 5 68 45 2778 2 132 200 77 FALSE
"45" 5770 3 82 55 442 26 146 40 78 FALSE
"46" 5690 8 21 41 5000 -30 57 300 80 FALSE
"47" 5700 3 19 45 5000 -53 66 300 81 FALSE
"48" 5730 11 19 51 5000 -43 95 300 82 FALSE
"49" 5690 7 19 53 5000 7 95 300 83 FALSE
"50" 5640 5 68 50 5000 24 56 300 84 FALSE
"51" 5720 6 63 60 1341 19 151 150 85 FALSE
"52" 5740 3 54 54 1318 2 181 150 86 FALSE
"53" 5740 3 47 53 885 -4 195 80 87 TRUE
"54" 5740 3 56 53 360 3 195 40 88 FALSE
